Customer ID,Food ID,Quantity
537,9,2
97,4,1
658,1,2
202,2,3
155,9,3
213,8,2
600,1,4
503,5,4
71,3,1
174,3,2
961,9,5
966,5,3
641,4,4
288,2,2
149,4,2
954,2,1
147,9,4
155,1,5
550,6,4
101,7,5
549,6,3
75,6,2
78,7,4
514,5,1
833,7,3
329,8,5
586,10,3
341,1,1
519,10,2
680,9,3
419,7,1
20,1,3
822,6,5
226,10,1
203,2,5
77,1,1
628,4,4
296,9,2
821,9,2
697,8,5
264,7,1
477,9,2
524,4,5
121,3,4
290,7,2
100,1,3
260,6,3
798,9,1
462,3,1
896,7,2
953,1,2
682,10,1
809,7,1
450,10,2
772,7,5
304,3,4
159,6,5
189,4,1
876,2,4
864,8,5
799,8,4
68,6,5
812,8,4
30,2,5
921,2,1
941,6,3
108,3,3
315,4,4
358,10,4
249,9,2
491,9,1
110,8,2
737,3,3
836,6,5
749,9,4
758,8,4
527,3,1
677,10,1
741,3,1
540,3,2
433,7,2
250,10,2
504,1,1
819,4,2
910,7,3
351,10,5
282,7,3
117,5,1
937,10,1
63,6,3
144,2,4
393,7,5
380,7,4
515,7,1
233,3,4
357,3,4
3,2,5
875,2,5
352,6,1
93,3,4
323,1,5
21,4,3
64,10,3
912,10,4
327,6,1
399,2,3
459,6,5
418,7,2
669,3,1
259,9,5
816,7,2
761,9,2
410,7,3
304,2,2
772,10,5
80,2,3
363,9,5
504,5,1
728,6,3
71,8,4
479,6,5
922,1,1
244,2,2
319,9,5
909,1,2
919,10,3
51,2,5
26,9,2
472,8,1
77,9,1
608,6,4
160,5,1
645,8,3
574,10,1
374,4,5
100,7,5
762,8,4
45,7,5
332,7,3
338,10,5
140,8,2
567,2,4
602,1,3
10,2,5
77,2,1
74,1,4
1000,2,4
529,7,3
881,5,4
673,7,1
107,2,1
876,8,1
703,1,1
225,10,3
962,1,5
114,5,3
250,7,4
346,4,4
191,2,5
331,2,5
310,2,2
738,9,1
427,7,1
331,5,2
902,6,4
867,9,5
385,5,2
555,9,1
67,7,2
138,4,5
775,5,4
833,3,3
648,5,5
475,10,5
483,6,4
968,1,2
203,3,4
313,9,2
263,8,5
871,5,1
747,5,3
38,4,2
190,9,3
348,6,5
226,3,1
167,9,1
671,8,4
190,1,2
909,4,2
501,6,5
406,2,4
47,8,3
482,3,3
163,1,3
991,2,3
539,6,5
53,2,2
51,10,1
348,9,2
321,1,4
493,9,5
650,9,4
310,1,2
848,6,2
307,9,4
798,1,3
606,7,5
100,4,4
783,6,4
985,5,3
123,6,3
809,10,2
21,4,4
764,9,4
92,1,2
386,6,1
331,3,4
62,5,2
91,8,1
368,6,5
147,8,5
745,4,3
184,3,1
828,8,2
578,5,5
491,4,2
62,4,4
77,9,1
506,9,5
271,9,1
584,10,4
148,5,2
595,3,5
274,10,1
646,1,3
520,8,4
644,8,1
725,8,3
934,4,1
151,10,1
945,5,2
343,3,1
380,9,3
911,4,5
621,9,4
413,9,3
926,6,2
134,3,2
396,6,3
535,10,3
