movie_rank, movie_name, movie_year, movie_rating, num_user_rating
1,The Shawshank Redemption,1994,9.2,2004763
2,The Godfather,1972,9.2,1373480
3,The Godfather: Part II,1974,9.0,950933
4,The Dark Knight,2008,9.0,1973927
5,12 Angry Men,1957,8.9,561476
6,Schindler's List,1993,8.9,1034583
7,The Lord of the Rings: The Return of the King,2003,8.9,1427297
8,Pulp Fiction,1994,8.9,1565064
9,The Good| the Bad and the Ugly,1966,8.8,594131
10,Fight Club,1999,8.8,1604276
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1444085
12,Forrest Gump,1994,8.7,1525997
13,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1007144
14,Inception,2010,8.7,1754143
15,The Lord of the Rings: The Two Towers,2002,8.7,1290260
16,One Flew Over the Cuckoo's Nest,1975,8.7,796619
17,Goodfellas,1990,8.7,863984
18,The Matrix,1999,8.6,1438306
19,Seven Samurai,1954,8.6,271506
20,City of God,2002,8.6,619838
21,Se7en,1995,8.6,1224860
22,Star Wars: Episode IV - A New Hope,1977,8.6,1077466
23,The Silence of the Lambs,1991,8.6,1074715
24,It's a Wonderful Life,1946,8.6,336743
25,Life Is Beautiful,1997,8.6,523269
26,The Usual Suspects,1995,8.5,870442
27,Spirited Away,2001,8.5,526680
28,Saving Private Ryan,1998,8.5,1056420
29,Léon: The Professional,1994,8.5,878548
30,The Green Mile,1999,8.5,958587
31,Interstellar,2014,8.5,1217178
32,American History X,1998,8.5,914686
33,Psycho,1960,8.5,510841
34,City Lights,1931,8.5,138342
35,Once Upon a Time in the West,1968,8.5,259774
36,Casablanca,1942,8.5,457168
37,Modern Times,1936,8.5,179864
38,The Intouchables,2011,8.5,637695
39,The Pianist,2002,8.5,608273
40,The Departed,2006,8.5,1030913
41,Terminator 2,1991,8.5,869718
42,Back to the Future,1985,8.5,887252
43,Whiplash,2014,8.5,573567
44,Rear Window,1954,8.5,380834
45,Raiders of the Lost Ark,1981,8.5,776362
46,Gladiator,2000,8.5,1158548
47,The Lion King,1994,8.5,789322
48,The Prestige,2006,8.5,1019024
49,Avengers: Infinity War,2018,8.4,503630
50,Memento,2000,8.4,994143
51,Apocalypse Now,1979,8.4,526142
52,Alien,1979,8.4,684152
53,The Great Dictator,1940,8.4,171448
54,Cinema Paradiso,1988,8.4,190682
